acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,pixel_resolution,provider,published,publishing_stage,quality_category,satellite_azimuth,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent,id,site
2022-11-23T18:37:11.512478Z,0.0,93,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-24T00:46:55Z,finalized,standard,100.7,2416,1,0,6097586,159.4,29.9,2022-11-24T04:34:15Z,4.9,70,100,20180413_181955_0f42,scott_creek
2022-11-21T18:32:15.121745Z,0.0,83,94,0.03,1,True,4.0,2,PSB.SD,PSScene,2,3,planetscope,2022-11-22T00:57:32Z,finalized,standard,277.6,2488,2,0,6093521,157.3,29.6,2022-11-22T09:58:52Z,4.4,61,97,20180414_183515_0f33,scott_creek
2022-11-19T18:32:06.077318Z,0.0,95,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-20T00:08:39Z,finalized,standard,274.1,2490,0,0,6089767,157.3,30.2,2022-11-20T12:03:25Z,1.7,67,100,20180415_183443_1051,scott_creek
2022-11-19T18:32:03.72521Z,0.0,95,99,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-20T00:08:39Z,finalized,standard,274.2,2490,1,0,6089767,157.4,30.1,2022-11-20T12:03:25Z,1.7,70,100,20180416_182049_1006,scott_creek
2022-11-18T18:32:10.916038Z,0.0,96,100,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-18T22:48:02Z,finalized,standard,277.1,2470,0,0,6087281,157.3,30.4,2022-11-19T09:00:15Z,3.8,71,100,20180417_181937_103d,scott_creek
2022-11-15T18:33:52.866958Z,0.0,95,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-15T22:54:03Z,finalized,standard,278.0,2482,1,0,6080597,157.3,31.0,2022-11-16T04:46:17Z,4.9,71,100,20180419_182101_1005,scott_creek
2022-11-14T18:42:43.609945Z,0.0,94,97,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-14T22:41:38Z,finalized,standard,278.5,241c,3,0,6078489,159.6,31.9,2022-11-15T06:58:33Z,4.4,71,100,20180421_182025_0f43,scott_creek
2022-11-14T17:59:19.428589Z,0.0,95,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-14T21:35:16Z,finalized,standard,276.9,2421,0,0,6078142,148.7,28.3,2022-11-15T09:57:39Z,3.8,79,100,20180422_182046_0f22,scott_creek
2022-11-07T17:57:18.734076Z,0.0,89,70,0.25,25,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-08T06:58:15Z,finalized,standard,277.1,2436,5,0,6062597,147.3,29.8,2022-11-08T13:02:02Z,4.0,74,75,20180509_181939_0e2f,scott_creek
2021-12-17T18:01:34.617752Z,0.0,94,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-04T08:50:03Z,finalized,standard,102.7,2448,1,0,5199912,149.4,23.1,2022-11-04T08:50:03Z,3.0,72,100,20180511_182144_0f4e,scott_creek
2021-11-07T18:02:59.303864Z,0.0,81,92,0.0,0,True,4.1,0,PSB.SD,PSScene,3,3,planetscope,2022-11-04T04:35:17Z,finalized,standard,103.3,241a,0,4,5074259,149.2,30.6,2022-11-04T04:35:17Z,2.0,57,100,20180518_182055_0e0f,scott_creek
2022-11-02T18:00:18.278715Z,0.0,90,87,0.12,12,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-11-03T07:05:04Z,finalized,standard,277.4,242d,1,0,6052232,147.2,31.5,2022-11-03T12:57:22Z,4.5,65,88,20180706_182339_1034,scott_creek
2021-11-26T18:03:14.846036Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-11-03T01:43:54Z,finalized,standard,277.0,2423,0,0,5132723,150.2,26.0,2022-11-03T01:43:54Z,4.1,71,100,20180708_182313_1008,scott_creek
2021-11-21T18:05:59.118892Z,0.0,95,99,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-11-02T07:25:15Z,finalized,standard,278.1,2431,1,0,5116914,150.5,27.2,2022-11-02T07:25:15Z,5.1,77,100,20180710_182244_0f3b,scott_creek
2021-11-05T18:03:23.525272Z,0.0,86,95,0.01,0,True,4.1,1,PSB.SD,PSScene,3,3,planetscope,2022-11-01T05:59:14Z,finalized,standard,274.9,2435,1,0,5069374,148.9,31.2,2022-11-01T05:59:14Z,2.1,62,99,20180714_182144_1051,scott_creek
2021-12-11T18:49:59.644016Z,0.0,96,99,0.0,0,True,4.0,0,PSB.SD,PSScene,0,3,planetscope,2022-11-01T00:58:22Z,finalized,standard,100.9,2405,1,0,5181001,161.9,27.7,2022-11-01T00:58:22Z,5.0,72,100,20180714_182339_101d,scott_creek
2021-10-28T18:18:17.151105Z,0.0,97,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-30T02:42:17Z,finalized,standard,276.7,227e,0,0,5043065,151.4,34.9,2022-10-30T02:42:17Z,3.9,71,100,20180716_213358_0f02,scott_creek
2021-11-25T18:52:11.220937Z,0.0,95,100,0.0,0,True,3.9,0,PSB.SD,PSScene,0,3,planetscope,2022-10-29T22:25:15Z,finalized,standard,275.2,2403,0,0,5129093,162.7,29.9,2022-10-29T22:25:15Z,3.9,69,100,20180720_182016_0f2d,scott_creek
2021-11-24T18:03:26.832166Z,0.0,94,99,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-29T22:05:22Z,finalized,standard,275.3,2420,1,0,5125797,150.3,26.3,2022-10-29T22:05:22Z,2.0,75,100,20180721_182123_0f3c,scott_creek
2021-10-16T18:01:55.905658Z,0.0,96,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-29T21:49:58Z,finalized,standard,107.9,2423,0,0,5004990,144.7,37.0,2022-10-29T21:49:58Z,1.0,79,100,20180721_182338_1018,scott_creek
2021-10-28T18:06:17.953057Z,0.0,95,100,0.0,0,True,4.1,0,PSB.SD,PSScene,0,3,planetscope,2022-10-29T11:48:48Z,finalized,standard,275.3,2439,0,0,5042427,148.1,33.6,2022-10-29T11:48:48Z,2.1,72,100,20180724_182321_103b,scott_creek
